"Calendar year","Month","ABS remoteness area","Age group","Sex","Road user","Sum(Hospitalisations)"
2016,"May","Remote","17-25","Male","Pedal cyclist",1
2016,"May","Remote","17-25","Male","Pedestrian",1
2016,"May","Remote","26-39","Female","Car occupant",6
2016,"May","Remote","26-39","Female","Motorcyclist",1
2016,"May","Remote","26-39","Female","Pedestrian",1
2016,"May","Remote","26-39","Male","Car occupant",4
2016,"May","Remote","26-39","Male","Heavy transport",0
2016,"May","Remote","26-39","Male","Motorcyclist",5
2016,"May","Remote","26-39","Male","Other or unknown",0
2016,"May","Remote","26-39","Male","Pedal cyclist",2
2016,"May","Remote","26-39","Male","Pedestrian",0
2016,"May","Remote","26-39","Male","Pick-up truck or van occupant",1
2016,"May","Remote","40-64","Female","Car occupant",4
2016,"May","Remote","40-64","Female","Motorcyclist",1
2016,"May","Remote","40-64","Female","Pedal cyclist",1
