"year","counterparty","state","Sum(cases)"
2015,"Non-collision transport accident","NSW",2657
2015,"Non-collision transport accident","NT",339
2015,"Non-collision transport accident","Qld",2451
2015,"Non-collision transport accident","SA",746
2015,"Non-collision transport accident","Tas",220
2015,"Non-collision transport accident","Vic",1999
2015,"Non-collision transport accident","WA",973
2015,"Other","ACT",147
2015,"Other","NSW",1753
2015,"Other","NT",87
2015,"Other","Qld",1601
2015,"Other","SA",410
2015,"Other","Tas",127
2015,"Other","Vic",1699
2015,"Other","WA",651
2016,"Car, pick-up truck or van","ACT",235
2016,"Car, pick-up truck or van","NSW",5217
2016,"Car, pick-up truck or van","NT",168
2016,"Car, pick-up truck or van","Qld",3380
2016,"Car, pick-up truck or van","SA",1064
2016,"Car, pick-up truck or van","Tas",197
2016,"Car, pick-up truck or van","Vic",4918
2016,"Car, pick-up truck or van","WA",1086
2016,"Fixed or stationary object","ACT",78
2016,"Fixed or stationary object","NSW",1710
2016,"Fixed or stationary object","NT",121
2016,"Fixed or stationary object","Qld",1302
2016,"Fixed or stationary object","SA",387
2016,"Fixed or stationary object","Tas",98
2016,"Fixed or stationary object","Vic",1415
2016,"Fixed or stationary object","WA",410
2016,"Non-collision transport accident","ACT",211
2016,"Non-collision transport accident","NSW",2734
2016,"Non-collision transport accident","NT",304
2016,"Non-collision transport accident","Qld",2376
2016,"Non-collision transport accident","SA",765
2016,"Non-collision transport accident","Tas",227
2016,"Non-collision transport accident","Vic",2174
2016,"Non-collision transport accident","WA",892
2016,"Other","ACT",130
2016,"Other","NSW",1813
2016,"Other","NT",116
2016,"Other","Qld",1644
2016,"Other","SA",438
2016,"Other","Tas",135
2016,"Other","Vic",1853
2016,"Other","WA",643
2017,"Car, pick-up truck or van","ACT",221
2017,"Car, pick-up truck or van","NSW",5012
2017,"Car, pick-up truck or van","NT",212
2017,"Car, pick-up truck or van","Qld",3674
2017,"Car, pick-up truck or van","SA",890
2017,"Car, pick-up truck or van","Tas",212
2017,"Car, pick-up truck or van","Vic",5279
2017,"Car, pick-up truck or van","WA",1091
2017,"Fixed or stationary object","ACT",74
2017,"Fixed or stationary object","NSW",1540
2017,"Fixed or stationary object","NT",93
