"year","state","road_user","Sum(cases)"
2013,"NSW","Motorcyclist",2570
2013,"NSW","Other or unknown",162
2013,"NSW","Pedal cyclist",1835
2013,"NSW","Pedestrian",993
2013,"NSW","Pick-up truck or van occupant",67
2013,"NT","Bus occupant",0
2013,"NT","Car driver, passenger or unknown position",296
2013,"NT","Heavy transport driver, passenger or unknown position",0
2013,"NT","Motorcyclist",121
2013,"NT","Other or unknown",0
2013,"NT","Pedal cyclist",70
2013,"NT","Pedestrian",42
2013,"NT","Pick-up truck or van occupant",6
2013,"QLD","Bus occupant",37
2013,"QLD","Car driver, passenger or unknown position",3658
2013,"QLD","Heavy transport driver, passenger or unknown position",165
2013,"QLD","Motorcyclist",2047
2013,"QLD","Other or unknown",140
2013,"QLD","Pedal cyclist",1321
2013,"QLD","Pedestrian",400
2013,"QLD","Pick-up truck or van occupant",53
2013,"SA","Bus occupant",16
2013,"SA","Car driver, passenger or unknown position",1106
2013,"SA","Heavy transport driver, passenger or unknown position",25
2013,"SA","Motorcyclist",455
2013,"SA","Other or unknown",27
2013,"SA","Pedal cyclist",400
2013,"SA","Pedestrian",172
2013,"SA","Pick-up truck or van occupant",20
2013,"TAS","Bus occupant",0
2013,"TAS","Car driver, passenger or unknown position",265
2013,"TAS","Heavy transport driver, passenger or unknown position",0
2013,"TAS","Motorcyclist",149
2013,"TAS","Other or unknown",9
2013,"TAS","Pedal cyclist",94
2013,"TAS","Pedestrian",43
2013,"TAS","Pick-up truck or van occupant",0
2013,"VIC","Bus occupant",45
2013,"VIC","Car driver, passenger or unknown position",3689
2013,"VIC","Heavy transport driver, passenger or unknown position",103
2013,"VIC","Motorcyclist",1521
2013,"VIC","Other or unknown",118
2013,"VIC","Pedal cyclist",1583
2013,"VIC","Pedestrian",673
2013,"VIC","Pick-up truck or van occupant",52
2013,"WA","Bus occupant",30
2013,"WA","Car driver, passenger or unknown position",1452
2013,"WA","Heavy transport driver, passenger or unknown position",40
2013,"WA","Motorcyclist",958
2013,"WA","Other or unknown",56
2013,"WA","Pedal cyclist",675
2013,"WA","Pedestrian",245
2013,"WA","Pick-up truck or van occupant",19
2014,"ACT","Bus occupant",0
2014,"ACT","Car driver, passenger or unknown position",232
2014,"ACT","Heavy transport driver, passenger or unknown position",0
2014,"ACT","Motorcyclist",102
2014,"ACT","Other or unknown",0
2014,"ACT","Pedal cyclist",179
2014,"ACT","Pedestrian",20
2014,"NSW","Bus occupant",107
2014,"NSW","Car driver, passenger or unknown position",5319
2014,"NSW","Heavy transport driver, passenger or unknown position",145
